fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Id,quality
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,193.0,5
7.6,0.55,0.21,,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,194.0,5
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,196.0,5
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,197.0,6
6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,199.0,4
9.6,0.32,0.47,1.4,0.0559999999999999,9.0,,0.99695,3.22,0.82,10.3,200.0,7
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,,0.56,9.2,204.0,6
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,205.0,7
12.8,0.3,0.74,2.6,,9.0,28.0,0.9994,3.2,0.77,10.8,206.0,7
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,208.0,5
9.7,0.53,0.6,2.0,0.039,5.0,19.0,0.99585,3.3,0.86,,210.0,6
8.0,0.725,0.24,2.8,0.083,10.0,62.0,0.99685,3.35,0.56,10.0,211.0,6
8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,213.0,5
7.8,0.735,0.08,,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,214.0,6
7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,215.0,5
8.7,,0.16,2.0,0.1009999999999999,13.0,49.0,0.9962,3.14,0.57,11.0,216.0,5
8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,217.0,5
7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,218.0,5
7.8,0.34,0.37,2.0,0.0819999999999999,24.0,58.0,0.9964,3.34,0.59,9.4,220.0,6
7.4,0.53,0.26,2.0,0.1009999999999999,16.0,72.0,0.9957,3.15,0.57,9.4,221.0,5
6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,222.0,5
8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,223.0,6
7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,225.0,6
8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,9.5,226.0,6
5.2,0.48,0.04,1.6,0.054,19.0,,0.9927,3.54,0.62,12.2,230.0,7
8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,231.0,6
8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6,232.0,6
8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,234.0,6
7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,0.99675,3.37,0.58,9.0,235.0,6
8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,240.0,5
12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.99925,3.14,0.71,10.9,241.0,6
7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,9.8,242.0,6
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,243.0,7
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,244.0,7
7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,245.0,6
7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,9.5,246.0,5
7.3,,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,249.0,6
10.8,0.32,,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,10.0,250.0,6
7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,251.0,6
11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,,10.5,,5
7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,9.5,253.0,5
8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,9.3,255.0,5
9.4,0.34,,2.2,0.075,5.0,13.0,0.998,3.22,0.62,9.2,256.0,5
6.6,,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,257.0,5
7.7,0.41,,1.8,0.611,,45.0,0.9968,3.06,,9.4,258.0,5
10.0,0.31,0.47,2.6,0.085,14.0,,0.99965,3.36,0.8,,259.0,7
7.9,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,260.0,5
7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,261.0,4
8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,10.0,262.0,5
7.9,0.37,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,9.3,,5
12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,10.9,264.0,5
8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,0.72,9.8,266.0,4
7.9,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,12.8,267.0,8
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,268.0,6
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,269.0,6
7.9,0.545,0.06,4.0,0.087,,61.0,0.9965,3.36,0.67,10.7,270.0,6
7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,275.0,6
6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,276.0,6
11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,277.0,6
10.3,0.32,0.45,6.4,0.073,5.0,13.0,,3.23,0.82,12.6,278.0,8
8.9,0.4,0.32,5.6,0.087,10.0,,0.9991,3.38,0.77,10.5,,7
,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,3.12,0.82,9.3,280.0,6
7.7,0.27,0.68,3.5,0.358,5.0,10.0,0.9972,3.25,1.08,9.9,281.0,7
8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,10.5,283.0,7
9.9,0.59,0.07,3.4,0.102,32.0,71.0,,3.31,0.71,9.8,,5
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,285.0,5
12.0,0.45,0.55,2.0,,25.0,49.0,0.9997,3.1,0.76,10.3,286.0,6
7.5,0.4,0.12,3.0,0.092,29.0,53.0,0.9967,3.37,0.7,10.3,287.0,6
8.7,0.52,0.09,,0.091,20.0,49.0,0.9976,3.34,0.86,,288.0,7
11.6,0.42,0.53,3.3,0.105,33.0,98.0,1.001,,0.95,9.2,289.0,5
8.7,0.52,0.09,2.5,,20.0,49.0,0.9976,3.34,0.86,,290.0,7
10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,10.3,292.0,6
6.9,0.36,0.25,2.4,0.098,5.0,16.0,,3.41,0.6,10.1,293.0,6
13.3,0.34,0.52,3.2,0.094,17.0,53.0,1.0014,3.05,0.81,9.5,294.0,6
10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,295.0,5
10.6,0.83,0.37,2.6,0.086,26.0,70.0,0.9981,3.16,0.52,9.9,296.0,5
7.1,0.63,0.06,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,,,5
7.2,0.65,0.02,2.3,0.094,,31.0,0.9993,3.67,0.8,9.7,298.0,5
7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,,0.59,10.7,300.0,6
11.1,0.18,0.48,1.5,0.068,,15.0,0.9973,3.22,0.64,10.1,301.0,6
8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,302.0,5
8.4,0.65,0.6,2.1,,12.0,90.0,0.9973,3.2,0.52,9.2,304.0,5
7.6,0.62,0.32,2.2,0.0819999999999999,7.0,,0.9966,3.36,0.52,9.4,306.0,5
10.3,0.41,0.42,2.4,0.213,6.0,14.0,0.9994,3.19,0.62,9.5,307.0,6
10.3,0.43,0.44,2.4,0.214,5.0,12.0,0.9994,3.19,0.63,9.5,308.0,6
7.9,0.53,0.24,2.0,0.072,15.0,105.0,,,0.54,9.4,311.0,6
9.0,0.46,0.31,2.8,0.093,19.0,98.0,0.99815,3.32,0.63,9.5,312.0,6
8.6,0.47,0.3,3.0,0.076,,135.0,0.9976,3.3,0.53,,313.0,5
7.4,0.36,0.29,2.6,0.087,26.0,72.0,0.99645,3.39,0.68,11.0,314.0,5
9.8,0.66,,3.2,0.083,21.0,59.0,0.9989,3.37,0.71,11.5,318.0,7
9.6,,,2.9,0.0819999999999999,30.0,,0.99865,3.3,0.64,10.4,319.0,6
9.3,0.61,,3.4,0.09,25.0,87.0,,3.24,0.62,9.7,321.0,5
10.0,0.49,0.2,11.0,0.071,,50.0,1.0015,3.16,0.69,9.2,324.0,6
10.0,0.49,0.2,11.0,,13.0,50.0,1.0015,3.16,0.69,9.2,325.0,6
11.6,0.53,0.66,3.65,0.121,,14.0,,3.05,0.74,11.5,326.0,7
10.3,0.44,0.5,4.5,0.107,,13.0,0.998,3.28,0.83,11.5,327.0,5
13.4,0.27,0.62,2.6,0.0819999999999999,6.0,21.0,1.0002,3.16,0.67,9.7,328.0,6
8.4,0.56,,2.1,0.105,16.0,44.0,0.9958,3.13,0.52,11.0,333.0,5
7.9,0.65,0.01,2.5,0.078,17.0,38.0,0.9963,3.34,0.74,11.7,334.0,7
11.9,0.695,0.53,3.4,0.128,7.0,21.0,0.9992,3.17,0.84,12.2,335.0,7
8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,3.35,0.7,12.5,336.0,6
7.8,0.43,0.32,2.8,0.08,29.0,58.0,0.9974,3.31,0.64,10.3,337.0,5
12.5,0.28,0.54,2.3,0.0819999999999999,12.0,29.0,0.9997,3.11,1.36,9.8,339.0,7
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,342.0,6
10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,343.0,6
11.9,0.57,0.5,2.6,0.0819999999999999,6.0,,1.0006,3.12,0.78,10.7,344.0,6
13.8,0.49,0.67,3.0,0.093,6.0,15.0,0.9986,3.02,0.93,12.0,347.0,6
9.6,,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92,10.0,348.0,6
9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,351.0,6
7.7,0.665,0.0,2.4,0.09,8.0,19.0,0.9974,3.27,0.73,9.3,,5
13.5,0.53,0.79,4.8,0.12,23.0,77.0,1.0018,3.18,0.77,13.0,353.0,5
6.1,0.21,0.4,1.4,0.066,40.5,165.0,0.9912,3.25,0.59,11.9,354.0,6
6.7,0.75,0.01,2.4,0.078,17.0,32.0,0.9955,3.55,0.61,12.8,,6
11.5,0.41,0.52,3.0,0.08,29.0,55.0,1.0001,3.26,0.88,11.0,356.0,5
10.5,0.42,0.66,2.95,0.1159999999999999,12.0,,0.997,3.24,0.75,11.7,357.0,7
11.9,0.43,0.66,3.1,0.109,10.0,23.0,1.0,3.15,0.85,10.4,358.0,7
12.6,0.38,0.66,2.6,0.088,10.0,41.0,,3.17,,9.8,,6
8.2,0.7,0.23,2.0,0.099,14.0,81.0,0.9973,3.19,0.7,9.4,360.0,5
8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,361.0,6
11.9,0.58,,2.5,0.072,6.0,37.0,0.9992,3.05,0.56,10.0,362.0,5
12.5,0.46,0.63,2.0,0.071,6.0,15.0,,2.99,0.87,,363.0,5
12.8,,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,364.0,7
12.8,0.615,0.66,5.8,0.083,7.0,,1.0022,3.07,0.73,10.0,366.0,7
10.4,0.575,0.61,2.6,0.076,11.0,24.0,1.0,3.16,0.69,9.0,367.0,5
9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,369.0,7
7.9,0.24,0.4,1.6,0.0559999999999999,11.0,25.0,0.9967,3.32,0.87,8.7,371.0,6
,0.28,0.48,1.8,0.067,26.0,46.0,0.9967,3.32,1.04,10.6,372.0,6
11.5,0.45,0.5,3.0,0.078,19.0,47.0,1.0003,3.26,1.11,11.0,376.0,6
9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,377.0,7
11.4,0.625,0.66,6.2,0.088,6.0,24.0,0.9988,3.11,0.99,13.3,378.0,6
8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,,0.8,9.4,,6
7.7,0.51,0.28,2.1,0.087,23.0,54.0,0.998,3.42,0.74,9.2,384.0,5
7.8,0.46,0.26,1.9,0.088,23.0,53.0,0.9981,3.43,0.74,9.2,388.0,6
5.6,,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,390.0,8
13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,,0.8,10.0,391.0,6
9.5,0.37,0.52,2.0,0.0819999999999999,6.0,,0.998,3.18,0.51,9.5,392.0,5
12.0,0.37,0.76,4.2,0.066,7.0,38.0,1.0004,3.22,0.6,13.0,395.0,7
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,396.0,5
11.5,0.59,0.59,2.6,,13.0,49.0,0.9988,3.18,0.65,11.0,397.0,6
8.7,,0.22,2.3,0.064,9.0,42.0,0.9963,3.1,0.55,9.4,,5
6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,400.0,5
